Topping,Product,Variant,Size,AddPrice
Extra Cheese,Sub,Cheese,Small,0.50
Extra Cheese,Sub,Italian,Small,0.50
Extra Cheese,Sub,Ham + Cheese,Small,0.50
Extra Cheese,Sub,Meatball,Small,0.50
Extra Cheese,Sub,Tuna,Small,0.50
Extra Cheese,Sub,Turkey,Small,0.50
Extra Cheese,Sub,Chicken Parmigiana,Small,0.50
Extra Cheese,Sub,Eggplant Parmigiana,Small,0.50
Extra Cheese,Sub,Steak,Small,0.50
Extra Cheese,Sub,Steak + Cheese,Small,0.50
Extra Cheese,Sub,"Sausage, Peppers & Onions",,0.50
Extra Cheese,Sub,Hamburger,Small,0.50
Extra Cheese,Sub,Cheeseburger,Small,0.50
Extra Cheese,Sub,Fried Chicken,Small,0.50
Extra Cheese,Sub,Veggie,Small,0.50
Mushrooms,Sub,Steak + Cheese,Small,0.50
Green Peppers,Sub,Steak + Cheese,Small,0.50
Onions,Sub,Steak + Cheese,Small,0.50
Extra Cheese,Sub,Cheese,Large,0.50
Extra Cheese,Sub,Italian,Large,0.50
Extra Cheese,Sub,Ham + Cheese,Large,0.50
Extra Cheese,Sub,Meatball,Large,0.50
Extra Cheese,Sub,Tuna,Large,0.50
Extra Cheese,Sub,Turkey,Large,0.50
Extra Cheese,Sub,Chicken Parmigiana,Large,0.50
Extra Cheese,Sub,Eggplant Parmigiana,Large,0.50
Extra Cheese,Sub,Steak,Large,0.50
Extra Cheese,Sub,Steak + Cheese,Large,0.50
Extra Cheese,Sub,Hamburger,Large,0.50
Extra Cheese,Sub,Cheeseburger,Large,0.50
Extra Cheese,Sub,Fried Chicken,Large,0.50
Extra Cheese,Sub,Veggie,Large,0.50
Mushrooms,Sub,Steak + Cheese,Large,0.50
Green Peppers,Sub,Steak + Cheese,Large,0.50
Onions,Sub,Steak + Cheese,Large,0.50
